AAS	教廷公報；宗座公報。全名是 Acta Apostolicae Sedis 。 
alter Christus (L.)	基督第二；基督替身多指聖職人士，近亦用以指一般教友。 
ambo	讀經台早期設在祭台旁用以宣讀聖經或講道之台，亦作 ambon 。同 lectern 。 
Ambrose, St.	聖安博義大利米蘭教區主教，聖師之一，曾協助聖思定皈依。舊名盎博羅削。 
Ambrosian Rite	安博禮為義大利米蘭教區所沿用的禮儀，據說由聖安博主教創于第四世紀。十六世紀再由聖嘉祿樞機重整，使用至今。 
ambry	聖油櫃通常設於教堂牆壁中，用以貯存聖油；亦可寫成 aumbry 。 
Amen (Heb.)	 (1) 阿門；亞孟；贊成；但願如此希伯來語，意即願禱中所求都能獲得，多用於祈禱之結尾。 (2) 鄭重的；實實在在的在福音中耶穌警告人時的慣用語。 
Americanism	美國主義指十九世紀末，歐洲人士指責美國教會的一些非正統之思想而言。 
amice	方領巾；領布；方領；肩衣方形附有兩條長帶的白麻布，為昔日舉行彌撒所穿祭服的第一件；梵二後很少使用。拉丁文稱作 amictus 。 
amor (L.)	愛。英文稱作 love 。 
Amos, Book of	亞毛斯書；阿摩司書（基）舊約小先知書之一；亞毛斯生於紀元前八世紀，他責斥人民的罪惡、預言北國的滅亡、也預言默西亞王國的來臨和萬民的歸正。 
amula (L.)	酒水壺；酒水瓶舉行彌撒時盛酒和水的容器。英文稱 cruets 。 
Anabaptist	重洗（禮）派；再洗派（教徒） 1524 年在德國倡行的基督新教派之一，主張只有成人始得受洗；凡自幼受洗者皆須再受洗。 
analogy	類比表示相似、對比的意思，是將一個概念用在不同的領域上。無限的造物主，將自己啟示給有限的受造物，而人經由類比、揣摩，在天主的吸引下，努力嘗試瞭解天主的事理，進而與天主密切共融。 
anamnesis (Gr.)	紀念禱詞彌撒中紀念耶穌死而復活奧跡的禱詞、經文。 
anaphora (L.)	感恩經乃彌撒最重要的祈禱文，包括成聖體、成聖血、領聖體等。 
anathema (L./Gr.)	 (1) 絕罰。詳見 excommunication 。 (2) 譴責異端；詛咒。 
anchor cross	十字錨錨是希望的象徵，尤指永遠的天堂；錨的圖形上方加一個十字，稱為十字錨，象徵基督的十字架－早期基督徒受迫害的暗記，用來逃避迫害者的追蹤，在羅馬地下墓穴 (catacomb) 中到處都可見到十字錨圖形。 
anchorite	獨修者；隱士；隱修士指那些遠離世俗，專心度祈禱、工作、補贖生活的基督徒，盛行於三、四世紀的敘利亞和埃及（之曠野）。與 anchoret 同。 
angel	天使；奉遣天使；天神；善神天主所造的精神體；聖經曾多次提及。 Angel 源于希臘文 angelos ，意為使者；若嚴格區分被派遣時為「天使」，按本性則為「天神」。參閱 archangel 。 
angel, guardian	護守天使；護守天神天主為每一個人所指派的守護者（瑪十八 10)，每年十月二日為護守天使紀念日。 
Angelic Doctor	天使博士；天使聖師十三世紀大神哲學家聖道茂．阿奎納(St. Thomas Aquinas)的尊稱；著有《神學集成》 Summa Theologica ； 1567 年教宗碧岳五世封他為天使博士。 
angelic hymn, the	天使之歌；光榮頌；「天主在天受光榮」頌指彌撒中所誦（唱）的光榮頌；拉丁文為 Gloria in Excelsis Deo ；又稱大榮福頌或聖三光榮頌，前兩句是天使向牧人報告耶穌降生的喜訊「天主在天受光榮，主愛的人在世享平安」（路二 14)。可參閱 doxology 。 
Angelic Salutation, the	聖母經系由天使問候聖母的話、表姐麗莎讚頌聖母的話（路一 28 ， 42)、以及十六世紀教會所附加的祈禱文所組成。語體譯文為「萬福瑪利亞，你充滿聖寵！主與你同在。你在婦女中受讚頌，你的親子耶穌同受讚頌。天主聖母瑪利亞，求你現在和我們臨終時，為我們罪人祈求天主。阿們」。文言譯文見 Hail Mary 。又可稱 Angelic Salutation 天使問候。 
Angelicum, the	 (1) 天使大學中世紀道明會創辦於羅馬， 1910 年改今名，以紀念聖道茂。 (2) 天使大學學報。 
Angelology	天使學；天神學。 
angels, fallen	墮落的天使；魔鬼有些天使，因抗拒天主的命令而失掉天主的恩寵－不能在天堂與天主共享福樂，變成了魔鬼，墜入萬劫不復的地獄。 
Angelus (L.)	三鐘經教堂於晨、午、晚鳴鐘，提醒教友紀念耶穌降生救世的奧跡（參閱路一 26-38 ；路二 1-14)。 Angelus 為該拉丁祈禱文之首字，意為天使。其禱詞是「上主的天使向瑪利亞報喜，她因聖神受孕」、「我是上主的婢女，請照禰的話，在我身上完成」、「天主聖言降生成人，居住在我們中間」。每句中間均誦一遍聖母經，並鳴鐘一次，共三次，故稱三鐘經。最後誦「天主聖母請為我們祈求，使我們堪受基督的恩許。請大家祈禱天主，懇求禰廣施恩寵。我們藉天使的傳報，得悉禰  的聖子降生成人，求禰因祂的苦難和十字聖架，使我們獲享復活的光榮。以上所求是靠我們的主基督。阿們」。 
Anglican Church	安立甘教會；英國國教又稱 Anglicanism ，是英王亨利八世脫離天主教時，於 1534 年所創始的獨立教會。 
Anglo-Catholicism	 (1) 英國國教高派教會主義。 (2) 安（盎）格魯大公教會教義。 
anima (L.)	靈魂；魂；精神。英文稱 soul 。 
Anima Christi (L.)	基督的熱情；基督的靈魂紀念耶穌苦難的祈禱文，自十四世紀即已流行。 
animals in Church art	教會藝術中的動物早期用在教會藝術中，具有象徵性的動物，如魚、鹿、羔羊等。 
anniversary Mass	周年彌撒；紀念彌撒 (1) 指亡者的逝世周年彌撒。 (2) 指任何紀念性的彌撒，如結婚銀慶等。 
Anno Domini (L.)	主曆；西元；紀元；耶穌降生後拉丁語原文為主曆，縮寫為 A.D. 。 
annual Communion	四規聖體；教規聖體按聖教四規的第三條規定，所有信徒，在初領聖體後，有責任每年至少應領聖體一次，通常在復活期內履行（法典 920)。 
annual Confession	四規告解；教規告解；四規神工按聖教四規的第三條規定，凡達到辨別能力年齡的信徒，皆有責任至少一年一次誠實告明自己的重罪（法典 989)。 
Annuario Pontificio (L.)	教廷年鑒由教廷國務院以義大利文發行，每年一冊，共兩千餘頁，其中詳列歷代教宗、世界各國之樞機主教、總主教、主教、教廷各部會首長、各宗座直轄修會首長等詳細之資料，以及有關教會的各種統計。 1716 年創刊，初名 Notizie 消息、報告， 1860 年採用今名。 1870 年因義大利軍隊佔領羅馬而停刊。 1872 年復刊，改名為 Catholic Hierarchy 天主教聖統，由梵蒂岡印刷局發行。 1912 年恢復今名。 1924 年成為教廷官方年鑒，為天主教重要官方資料。 
annulment	無效聲明教會宣佈婚姻無效的正式聲明。 
Annunciation of the Blessed Virgin Mary	天使報喜；聖母領報；預報救主降生佳播天使向瑪利亞預報救主基督降生（路一 26-38)的奧跡。早在第四世紀初葉，納匝肋聖母領報大殿遺址中，就明顯證實聖母領報的敬禮已成慣例；而羅馬於第七世紀開始，每年三月廿五日慶祝聖母領報節，一直沿用至今。 
anoint	傅油；敷油；擦聖油；膏油聖事中的敷抹（傅）油行動。同 unction 。 
Anointing of the Sick, Sacrament of the	病人傅油聖事；病人聖事；終傅聖事（舊稱）七件聖事之一，司鐸用聖油敷抹病人，並誦念規定經文，藉以將病人託付給基督，求祂賜與安慰和拯救（法典 998)。因此教友病重時，應請神父傅（敷抹）聖油，使之增加恩寵，赦免罪過，並減輕其精神及肉體方面的苦痛，有時也會恢復病患之健康（雅五 14-15)。舊稱 Extreme Unction 。 
anonymous Christians	無名基督徒；匿名基督徒指那些尚未認識或信奉基督的人，只要具有誠意，也憑良心作事，就視同對基督懷有隱含的信仰，因而亦可與基督徒一樣獲得救恩。 
anthropomorphism	 (1) 擬人論把神明人性化之謂。在教會內，指用人的形象和特性來描繪天主的屬性；亦即勉強用人有限的智慧去描繪無限的天主如繪聖父為一老者，或曰天主行走、發怒等（創三 8)。 (2) 神人同形、同性論此一宗教理論，強調個人的宗教經驗，相信神靈附在人的靈魂內，兩者變為一體。此種理論完全以人為中心，忽視了人為天主子女的事實。 
Anthropos	 (1) 人類學。 (2) 民俗學志輔大聖言會曾出版以此為名的雜誌。 
anthropotheism	人神一體說；人神同化說。 
antichrist	假基督；假救主；反基督意指相反天主的惡勢力出現。教友應提高警覺，向黑暗勢力作戰。詳見若望壹書（二 18 ；四 3)及聖保祿書信（得後二 3-12)。 
anticipate	預誦；預先誦念；提前舉行譬如主日的彌撒可提前在週六晚舉行；日課經的「誦讀」部分，可提前於前一天的晚間誦念。 
anticlericalism	 (1) 反聖職主義；反教權主義。 (2) 反宗教主義抹殺宗教對社會之貢獻。 
Antigonish Movement	成人教育運動為加拿大聖方濟．薩威大學(St.Francis Xavier University) 1930 年所宣導。多年來成立許多儲蓄合作社和消費合作社，為其教育成就的表現之一。 
Antiochia (L.)	安提約基雅為初期教會主要的傳教中心，在此首次用基督徒之名（宗十一 26)。英文稱作 Antioch 安提阿（基）。 
antiphon (s)	對經；輪唱詩；輪唱讚美詩在日課、經文、歌曲、課本或禮儀中，輪流朗誦或歌詠的短經。 
antiphons of Our Lady, the	聖瑪利亞對經共四首大哉救主之母 Alma Redemptoris Mater 、萬福天上母后 Ave Regina Caelorum 、天上母后歡樂吧 Regina Caeli 、母后萬福 Salve Regina ；在每日夜禱中，分別於將臨期、四旬期、復活期、常年期誦或唱。 
antipope	對立教宗；假（偽）教宗與正式教宗對立的非法教宗，計 37 人。最後一人為 1449 年自認非法而退位的斐利五世。詳見本書附錄。 
anti-Semitism	反猶太主義；反閃族主義因宗教、國家及種族上的偏見，反對並迫害猶太人。梵二大公會議表示此舉有違基督徒精神，並強調猶太人對基督宗教及一神信仰的偉大貢獻。 
antitype	 (1) 預像；預象新約中的某些人、地、事、物，往往在舊約中已見端倪，譬如厄娃是聖母的預像。 (2) 相反的類型。 
Antonianum (L.)	 (1) 安道大學為方濟會於 1890 年所創辦的大學，設於羅馬。 (2) 安道大學學報。 
Apocalypse	默示錄；啟示錄（基）新約中的最後一卷，為若望宗徒所撰寫；完成于紀元後一百年，多以象徵方式啟示天主子民將來之得救。英文又稱 Book of Revelation 。 
apocalyptic	默示指猶太宗教和早期基督宗教，以文學類型所表達的一種未來觀。 
apocrypha	外經；旁經；次經；偽經；偽書（基）類似聖經而未經教會認可的初期教會作品，當作聖經的補充說明，以推廣教導和信仰。有參考價值。 
apologetics	護教學；辯護學；信證學有關護衛、辨明、解釋或證明基督宗教的神學科目。出自希臘語 apologia 。 
apology	護教；辯護；道歉。 
apostasy	背教；背叛對教會而言，有下列三種情況 (1) 背教或叛教，指領洗後的基督徒，完全背棄他所接受的基督宗教信仰（法典 751)。 (2) 放棄聖職身份，指非法還俗之已領過聖秩聖事（包括執事、司鐸、主教）者。 (3) 放棄會士身份，指非法脫離修會之（已發永願）會士。 
apostate	背教者；叛教者領過洗的天主教徒完全背棄其信仰者。 
